;_id;zip;scrapedate;Boligareal;Vgtet_areal;Grundareal;Rum_vrelser;Antal_plan;Bygger;Energimrke;Ejerudgifter_pr__md_;Pris_m_;Liggetid;Tidligere_salgspris;Udbetaling;Brutto_ekskl__ejerudgifter;Netto_ekskl__ejerudgifter;Ombygget;Klder;Prisudvikling;Boligydelse;Forbrugsafh__forhold;Teknisk_pris;pris
120;61012287;6622;12-08-2022;170;199;1314;64;3;1949;NA;1877;7010;111;NA;70000;7629;6143;1991;54;NA;NA;NA;NA;1394990
121;71104599;7660;12-08-2022;115;130;1259;54;3;1935;NA;986;2885;122;NA;25000;1851;1519;NA;4;NA;NA;NA;NA;375050
122;71104592;7660;12-08-2022;121;125;875;53;1;1983;NA;1199;5880;141;NA;40000;3585;2941;NA;NA;NA;NA;NA;NA;735000
123;71104400;7660;12-08-2022;158;171;2564;54;1;1966;NA;1392;4942;330;NA;45000;4909;3866;NA;NA;NA;NA;NA;NA;845082
124;84006252;8444;12-08-2022;110;116;413;54;3;1905;NA;1195;5043;456;NA;30000;3150;2519;NA;11;NA;NA;NA;NA;584988
125;95705754;9574;12-08-2022;148;145;1661;54;2;1900;NA;1173;4448;188;NA;35000;3466;2781;1983;NA;NA;NA;NA;NA;644960
126;95705760;9574;12-08-2022;73;104;1000;21;2;1963;NA;1140;4279;179;NA;25000;2429;1950;NA;73;NA;NA;NA;NA;445016
127;95705727;9574;12-08-2022;103;118;800;32;2;1945;NA;1277;5042;133;NA;30000;3211;2576;NA;5;NA;NA;NA;NA;594956
128;95705685;9574;12-08-2022;106;108;733;32;2;1945;NA;1402;4583;337;NA;25000;2687;2158;1975;NA;NA;NA;NA;NA;494964
129;95705464;9574;12-08-2022;261;268;391;75;3;1912;NA;1323;1660;738;NA;25000;2459;1974;1950;20;NA;NA;NA;NA;444880
130;95705778;9574;12-08-2022;125;169;6156;32;2;1965;NA;NA;NA;NA;NA;35000;3721;2985;NA;110;NA;NA;NA;NA;NA
131;95705782;9574;12-08-2022;82;NA;5000;31;1;1920;NA;1335;7866;127;NA;35000;3451;2769;NA;NA;NA;NA;NA;NA;NA
132;95703409;9574;12-08-2022;200;208;315;65;1;1897;NA;1147;3341;4362;NA;35000;3822;3070;NA;NA;13;NA;NA;NA;694928
133;49305038;4941;12-08-2022;276;282;1789;63;2;1991;NA;2769;17727;400;NA;250000;26347;20952;NA;NA;NA;NA;NA;NA;4999014
