"","zip","Boligareal","Vgtet_areal","Grundareal","rum","vaer","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris","nedslag"
"1135",4733,111,136,701,3,2,2,1972,1966,10654,143,75000,7685,6204,1988,63,0,1448944,0
"1136",6880,140,156,1661,5,5,2,1954,1318,2885,2457,25000,2432,1960,2005,0,33,450060,221671
"1137",6880,82,126,1147,3,2,3,1950,1288,5952,288,40000,4014,3236,0,51,3,749952,23194
"1138",6880,135,175,642,5,4,3,1954,1396,5686,121,50000,5307,4278,0,90,0,995050,0
"1139",6880,131,165,725,4,3,2,1969,1583,4818,157,40000,4235,3413,0,64,16,794970,151423
"1140",6880,162,165,806,5,3,3,1924,1211,5152,100,45000,4509,3635,1997,10,0,850080,0
"1141",6880,267,261,691,6,4,2,1961,3062,4962,352,65000,6903,5565,1982,0,13,1295082,193518
"1142",9575,139,144,693,3,2,2,1944,1308,5174,2543,40000,3645,2993,0,0,0,745056,0
"1143",7700,109,113,394,3,2,3,1937,1226,6593,359,40000,3664,3003,1987,6,6,745009,47554
"1144",7700,87,92,164,3,1,2,1895,1315,8641,157,40000,4272,3423,0,0,6,794972,50743
"1145",7700,245,254,593,5,3,3,1904,1362,2146,410,30000,2581,2142,0,30,8,545084,47399
"1146",7700,132,126,715,6,4,1,1967,1425,4722,134,30000,3189,2553,1997,0,8,594972,51737
"1147",7700,134,142,900,4,4,1,1973,1357,5599,436,40000,3754,3117,0,0,6,795058,50748
"1148",7700,117,123,1119,6,6,2,1931,991,6463,109,40000,4259,3410,2008,0,0,794949,0
"1149",7700,100,102,700,3,2,1,1965,1643,7304,316,40000,3739,3065,0,0,12,745008,101592
"1150",7700,80,93,680,4,2,2,1856,850,6398,2411,30000,2828,2347,1971,0,14,595014,96863
"1151",7700,92,89,189,3,2,2,1904,966,8933,3553,40000,3754,3117,1947,0,9,795037,78630
"1152",7700,84,100,566,3,2,1,1936,1155,2950,886,25000,1378,1145,0,49,9,295000,29176
"1153",7680,183,191,980,6,5,1,1973,2122,4319,172,45000,4116,3379,0,0,0,824929,0
"1154",7680,140,151,925,5,4,1,1974,1479,5265,623,40000,3586,3022,0,0,0,795015,0
"1155",7790,104,113,410,4,3,1,1897,928,3319,143,25000,1836,1508,0,0,0,375047,0
"1156",7790,140,204,1960,4,3,2,1965,1180,3897,346,40000,3586,3025,1973,140,0,794988,0
"1157",7790,75,76,219,4,2,2,1900,672,3224,862,25000,1280,1028,1975,0,0,245024,0
"1158",7790,214,253,1109,8,7,1,1900,1272,2668,120,35000,3613,2900,1978,78,0,675004,0
"1159",7790,110,119,830,2,1,1,1902,1200,3319,381,25000,2124,1706,1975,0,20,394961,98740
"1160",7790,117,119,1240,4,3,3,1928,1010,5000,380,30000,3479,2743,0,5,14,595000,96860
"1161",6980,137,134,1323,4,3,2,1935,1776,7425,94,50000,4988,4113,2006,0,0,994950,0
"1162",6950,289,294,2280,8,7,2,1878,2123,2704,534,40000,4268,3440,1976,0,16,794976,151424
"1163",6980,115,123,1007,4,3,1,1970,1128,8902,282,55000,5999,4840,0,0,8,1094946,95213
"1164",6980,236,259,2850,9,5,1,1828,2333,2297,1969,30000,2943,2425,1976,0,25,594923,198308
"1165",6980,132,101,1160,4,2,2,1973,1423,4901,434,25000,2468,2034,0,12,0,495001,0
"1166",6862,226,244,2001,6,5,2,1974,1813,6352,331,80000,8234,6638,0,0,6,1549888,98929
"1167",6862,192,198,881,7,6,2,1976,1879,7045,301,70000,7435,5993,0,0,3,1394910,43142
"1168",6862,117,121,767,5,4,2,1900,1415,7231,365,45000,4681,3774,1995,0,0,874951,0
"1169",6862,142,186,1997,3,3,2,1959,1179,8333,128,80000,8234,6638,0,30,0,1549938,0
"1170",6862,110,113,822,3,3,1,1999,1870,13496,86,80000,8096,6527,0,0,0,1525048,0
"1171",6862,82,84,402,4,3,3,1895,1022,8274,508,35000,3738,3013,0,6,0,695016,0
"1172",6862,160,189,2148,8,7,2,1910,1518,3968,534,40000,4041,3260,0,10,12,749952,102266
"1173",6520,152,153,1119,4,3,1,1968,1731,4902,127,40000,3689,3031,1973,0,0,750006,0
