"","zip","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris"
"99",5610,285,284,2131,65,2,1850,NA,NA,0,105000,11124,8882,1996,0,0,NA
"100",5610,228,252,2080,75,1,1974,3068,10516,127,135000,14026,11210,0,32,2,2650032
"101",5610,102,128,869,32,3,1946,1207,4297,211,30000,2784,2276,0,60,0,550016
"102",5610,163,174,952,43,1,2012,NA,NA,0,165000,17490,13967,0,0,0,NA
"103",5610,114,135,995,32,2,1890,1320,5148,98,35000,3733,2980,0,0,0,694980
"104",5610,188,216,1204,64,2,1965,2526,11551,92,125000,13291,10622,0,65,4,2495016
"105",5610,188,NA,916,64,2,1963,2336,7952,122,75000,8140,6505,1973,0,12,NA
"106",5610,101,141,791,43,2,1965,1682,6028,504,45000,4517,3607,0,101,11,849948
"107",6440,151,170,1091,53,1,1849,NA,NA,0,35000,3462,2778,0,6,0,NA
"108",6440,108,NA,400,53,2,1882,1757,8287,294,45000,4781,3833,1996,0,10,NA
"109",6440,131,135,716,42,1,2001,1852,14778,210,0,10582,8487,0,0,9,1995030
"110",6440,136,179,884,54,2,1727,1489,3324,1417,30000,3215,2580,0,0,0,594996
"111",6440,134,152,468,43,1,1985,2190,8520,4719,65000,6932,5564,0,0,17,1295040
"112",6440,148,186,968,43,1,1967,1534,5349,525,50000,5328,4276,1976,85,0,994914
"113",6440,214,220,772,65,2,1887,1961,6795,184,75000,7968,6396,2001,0,6,1494900
"114",7490,89,94,5541,32,3,1960,NA,NA,0,35000,3447,2782,0,16,0,NA
"115",8963,128,138,1379,32,3,1952,1238,4891,2300,35000,3624,2893,0,12,15,674958
"116",5602,312,422,15400,118,2,1863,2368,7097,170,150000,15884,12676,2001,0,0,2994934
"117",2880,114,147,744,33,3,1953,4539,30231,252,225000,25577,20606,1965,71,10,4443957
"118",2880,177,183,861,75,1,2004,4749,34672,170,320000,33439,27383,2014,0,9,6344976
"119",2880,184,187,1037,63,2,1952,7030,58797,104,550000,57917,47429,2009,0,4,10995039
"120",6622,170,199,1314,64,3,1949,1877,7010,111,70000,7629,6143,1991,54,0,1394990
"121",7660,115,130,1259,54,3,1935,986,2885,122,25000,1851,1519,0,4,0,375050
"122",7660,121,125,875,53,1,1983,1199,5880,141,40000,3585,2941,0,0,0,735000
"123",7660,158,171,2564,54,1,1966,1392,4942,330,45000,4909,3866,0,0,0,845082
"124",8444,110,116,413,54,3,1905,1195,5043,456,30000,3150,2519,0,11,0,584988
"125",9574,148,145,1661,54,2,1900,1173,4448,188,35000,3466,2781,1983,0,0,644960
"126",9574,73,104,1000,21,2,1963,1140,4279,179,25000,2429,1950,0,73,0,445016
"127",9574,103,118,800,32,2,1945,1277,5042,133,30000,3211,2576,0,5,0,594956
"128",9574,106,108,733,32,2,1945,1402,4583,337,25000,2687,2158,1975,0,0,494964
"129",9574,261,268,391,75,3,1912,1323,1660,738,25000,2459,1974,1950,20,0,444880
"130",9574,125,169,6156,32,2,1965,NA,NA,0,35000,3721,2985,0,110,0,NA
"131",9574,82,NA,5000,31,1,1920,1335,7866,127,35000,3451,2769,0,0,0,NA
"132",9574,200,208,315,65,1,1897,1147,3341,4362,35000,3822,3070,0,0,13,694928
"133",4941,276,282,1789,63,2,1991,2769,17727,400,250000,26347,20952,0,0,0,4999014
