"","zip","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris"
"1512",6800,188,191,704,54,2,1968,2433,10445,99,0,10596,8542,0,0,5,1994995
"1513",6800,151,159,700,43,1,1970,1771,7535,149,60000,6434,5190,0,0,0,1198065
"1514",6800,111,118,805,32,1,1972,1542,6737,1038,40000,4293,3463,0,0,0,794966
"1515",6800,159,94,218,52,1,1900,1893,17000,4175,80000,8503,6855,1984,40,6,1598000
"1516",6800,158,165,1183,43,1,1975,3112,13303,269,110000,11650,9392,0,0,7,2194995
"1517",6800,172,190,1398,64,1,1977,2098,10516,107,0,10612,8556,0,0,0,1998040
"1518",6800,120,131,520,53,3,1928,2576,19046,108,125000,13234,10669,0,33,0,2495026
"1519",6800,140,143,748,43,1,1982,2448,12413,158,90000,9429,7602,0,0,6,1775059
"1520",6800,170,189,352,53,2,1827,1906,21138,1331,0,21146,17049,2007,0,7,3995082
"1521",6800,190,189,19083,65,5,1947,2458,7910,407,75000,7958,6416,2002,8,0,1494990
"1522",6800,101,121,1343,43,2,1940,1817,4752,121,30000,3119,2516,0,0,0,574992
"1523",6800,167,168,14000,43,3,1931,1780,8899,364,75000,8010,6462,1995,0,35,1495032
"1524",6800,160,172,825,54,1,2007,2739,16267,94,140000,14783,11927,0,0,3,2797924
"1525",6800,183,180,527,52,2,1960,1565,4433,1414,40000,4282,3452,0,0,11,797940
"1526",6800,116,123,517,43,1,1971,1716,6870,1654,45000,4514,3639,0,0,0,845010
"1527",6800,125,153,496,54,3,1937,1418,3595,2341,30000,2960,2386,0,80,15,550035
"1528",6800,161,193,1340,65,3,1955,1393,4394,386,45000,4560,3679,0,88,11,848042
"1529",6800,200,202,547,54,3,1907,1704,7401,528,75000,7958,6416,1975,9,6,1495002
"1530",6800,150,185,1200,54,4,1950,1609,4297,359,40000,4266,3439,0,100,0,794945
"1531",6800,268,185,84529,55,2,1950,6944,12838,123,120000,12594,10154,1999,140,0,2375030
"1532",6800,118,134,634,43,2,1955,2004,5933,142,40000,4293,3463,1999,40,0,795022
"1533",6800,130,165,213,53,3,1906,1726,11503,291,95000,10085,8130,0,80,5,1897995
"1534",6800,152,160,664,54,3,1920,1413,12469,359,0,10596,8542,0,24,13,1995040
"1535",6800,150,149,463,54,2,1875,1889,9698,1486,75000,7680,6191,1994,0,3,1445002
"1536",6800,97,114,718,43,1,1965,2221,15351,211,90000,9350,7544,0,0,0,1750014
"1537",2950,223,275,1154,84,2,1972,9625,39618,93,545000,57369,47306,2000,112,0,10894950
"1538",2950,126,133,1020,53,1,1963,6894,51842,169,345000,36333,29959,0,0,1,6894986
"1539",2950,86,124,1188,42,2,1945,8085,72540,175,450000,47377,39067,1964,86,7,8994960
"1540",5474,90,108,1380,32,2,1915,1321,3241,216,25000,1876,1499,0,5,0,350028
"1541",5474,136,141,3318,44,3,1944,1555,6348,758,45000,4217,3495,0,6,18,895068
"1542",6600,190,195,1004,65,1,1979,2765,11256,2485,110000,10278,8573,0,0,0,2194920
"1543",6600,126,138,674,43,2,1910,1256,6486,163,45000,4784,3852,0,0,10,895068
"1544",6600,215,235,1112,64,2,2000,2929,19528,259,230000,20354,17214,2015,0,0,4589080
"1545",6600,122,132,570,43,1,1944,1589,6780,162,45000,4782,3847,0,6,10,894960
"1546",6600,155,182,1134,54,3,1931,1991,8214,640,75000,7922,6374,1971,20,0,1494948
"1547",6600,206,211,1164,76,1,1973,2713,11825,122,125000,14446,11418,2010,0,4,2495075
"1548",6600,147,170,1195,53,2,1980,1532,6912,92,60000,6814,5386,0,38,8,1175040
"1549",6600,167,176,1452,54,2,1902,1504,6222,421,55000,5829,4693,1998,0,8,1095072
"1550",6600,96,101,596,32,2,1930,1288,8416,430,45000,3961,3350,0,0,13,850016
"1551",6600,211,210,830,75,2,1908,2206,7119,2654,75000,6681,5647,1983,0,6,1494990
"1552",6600,108,143,1186,42,1,1950,1755,10455,91,75000,7533,6204,1998,64,0,1495065
"1553",7570,98,105,1081,44,3,1925,1215,4714,242,25000,2688,2156,0,12,0,494970
"1554",4241,105,108,595,32,2,1958,1646,10167,155,55000,6021,4857,0,6,4,1098036
"1555",7742,84,113,525,22,3,1935,940,1726,3865,25000,1009,809,0,4,44,195038
"1556",7742,196,189,3720,77,2,1909,1537,3042,168,30000,3095,2478,0,0,17,574938
"1557",5762,268,272,1152,1010,3,1917,2204,8438,137,115000,11526,9411,0,22,0,2295136
"1558",5762,121,125,355,32,3,1900,1363,10360,99,65000,6894,5492,1975,6,0,1295000
"1559",8800,91,96,743,54,2,1948,1739,7656,127,40000,4262,3363,0,0,0,734976
"1560",8800,178,210,3105,43,3,1968,2308,4048,1152,45000,4174,3431,2016,250,21,850080
"1561",8800,153,189,760,42,3,1953,1363,3624,172,35000,3689,2965,0,90,0,684936
"1562",8800,128,154,1026,54,3,1950,1498,3864,98,30000,3199,2569,0,78,8,595056
"1563",6920,98,104,563,43,1,1910,967,3125,877,25000,1731,1395,0,0,13,325000
"1564",6920,210,252,863,65,2,1987,2188,6726,340,85000,9051,7302,0,51,0,1694952
"1565",6920,170,187,827,55,3,1953,1349,5856,553,55000,5873,4738,0,3,8,1095072
"1566",6920,134,139,700,54,1,1964,1653,8237,235,60000,6123,4940,0,0,0,1144943
"1567",6920,272,274,961,76,2,1968,1799,7646,1541,105000,11170,9012,2007,0,0,2095004
"1568",6920,224,148,2123,76,2,1909,1702,6047,770,45000,4813,3882,1994,0,5,894956
"1569",6920,70,81,600,32,2,1960,920,4259,207,25000,1842,1485,0,20,0,344979
"1570",6920,112,120,261,55,3,1920,894,4958,189,30000,3203,2581,1978,20,0,594960
"1571",6920,150,167,1004,54,1,1969,1371,4461,196,40000,3976,3205,1995,0,0,744987
"1572",6920,154,159,840,55,2,1947,1209,2673,305,25000,2302,1857,0,77,11,425007
"1573",6920,152,155,5516,43,1,1993,2428,14806,99,115000,12229,9867,0,0,0,2294930
"1574",6920,340,360,1926,106,3,1902,2942,9708,336,175000,18586,14996,0,19,0,3494880
"1575",6920,195,194,986,75,2,1973,1616,5129,931,50000,5307,4278,0,0,9,995026
"1576",6920,212,246,3165,75,2,1860,1197,6890,120,85000,8989,7247,2009,0,0,1694940
"1577",6920,157,163,719,54,1,1972,1745,8558,442,70000,7411,5974,0,0,0,1394954
"1578",6920,180,185,806,75,2,1985,1858,8730,413,85000,8603,6941,1990,0,0,1615050
"1579",6920,86,90,505,31,1,1920,1004,4389,340,25000,2134,1722,1976,0,20,395010
"1580",6920,148,183,1460,53,3,1955,748,2978,736,30000,2924,2357,0,69,27,544974
"1581",6920,155,195,26582,53,2,1890,1490,2513,5383,25000,2648,2134,1987,0,38,490035
"1582",6920,154,181,788,65,1,1960,1612,7155,659,65000,6888,5556,0,44,4,1295055
"1583",6920,154,163,679,65,1,1961,1755,6748,273,55000,5861,4724,2008,0,15,1099924
"1584",6920,229,233,21986,54,3,1950,1687,6416,311,75000,7942,6407,1981,16,0,1494928
